subgroup,xbar,range,ewma,xbar_lcl,xbar_ucl,r_lcl,r_ucl,ewma_lcl,ewma_ucl,cusum_plus,cusum_minus,cusum_h,xbar_alarm,r_alarm,ewma_alarm,cusum_alarm,lot,scenario
1,498.6240094522016,5.82806475707406,499.64801223653313,495.18222462381755,504.62580124141436,0.0,17.29958489566703,498.9599797994708,500.84804606576114,0.0,0.313532980235422,5.0,False,False,False,False,0,stable
2,502.33547635490834,9.540895716037141,500.18550506020824,495.18222462381755,504.62580124141436,0.0,17.29958489566703,498.6950606454596,501.1129652197723,1.045367426368745,0.0,5.0,False,False,False,False,1,stable
3,498.06120281574675,5.164877525710324,499.760644611316,495.18222462381755,504.62580124141436,0.0,17.29958489566703,498.55249505949956,501.25553080573235,0.0,0.6712365078095743,5.0,False,False,False,False,2,stable
4,498.43323277905347,7.580046476804398,499.49516224486354,495.18222462381755,504.62580124141436,0.0,17.29958489566703,498.46866526889755,501.33936059633436,0.0,1.1060215923090992,5.0,False,False,False,False,3,stable
5,501.82924437927903,10.011102689651466,499.9619786717467,495.18222462381755,504.62580124141436,0.0,17.29958489566703,498.417493096707,501.3905327685249,0.7236211076080625,0.0,5.0,False,False,False,False,4,stable
6,502.7484206796359,6.0649792826802695,500.51926707332456,495.18222462381755,504.62580124141436,0.0,17.29958489566703,498.3856477134054,501.42237815182654,2.031443935315382,0.0,5.0,False,False,False,False,5,stable
7,499.68801007119,6.507198677775364,500.35301567289764,495.18222462381755,504.62580124141436,0.0,17.29958489566703,498.36561258245433,501.4424132827776,1.3941587995449918,0.0,5.0,False,False,False,False,6,stable
8,501.5191898814643,2.9680318328378803,500.586250514611,495.18222462381755,504.62580124141436,0.0,17.29958489566703,498.3529259059158,501.4550999593161,1.92071828700732,0.0,5.0,False,False,False,False,7,stable
9,500.20426368761963,4.63428426767598,500.50985314921274,495.18222462381755,504.62580124141436,0.0,17.29958489566703,498.3448606072512,501.46316525798073,1.6115489333872866,0.0,5.0,False,False,False,False,8,stable
10,498.60037806744856,4.764682457017784,500.12795813285993,495.18222462381755,504.62580124141436,0.0,17.29958489566703,498.33972063907305,501.46830522615886,0.2829965323773027,0.32855240100998384,5.0,False,False,False,False,9,stable
11,498.4378069645689,7.23243514799168,499.78992789920176,495.18222462381755,504.62580124141436,0.0,17.29958489566703,498.3364399041914,501.4715859610405,0.0,0.7604302662468645,5.0,False,False,False,False,10,stable
12,498.40450559140265,7.211050969438816,499.51284343764195,495.18222462381755,504.62580124141436,0.0,17.29958489566703,498.3343438324167,501.4736820328152,0.0,1.2134735156193357,5.0,False,False,False,False,11,stable
13,502.01174539794226,12.163601539944978,500.0126238297021,495.18222462381755,504.62580124141436,0.0,17.29958489566703,498.33300381414693,501.475022051085,0.8396134465984526,0.0,5.0,False,False,False,False,12,stable
14,499.17080922858185,6.645037459479795,499.84426090947807,495.18222462381755,504.62580124141436,0.0,17.29958489566703,498.33214680196863,501.4758790632633,0.0,0.0,5.0,False,False,False,False,13,stable
15,502.2272726824817,10.187397227703968,500.3208632640788,495.18222462381755,504.62580124141436,0.0,17.29958489566703,498.33159855930694,501.476427305925,0.9765963195330476,0.0,5.0,False,False,False,False,14,stable
16,500.9358127643624,5.8595796577884585,500.4438531641356,495.18222462381755,504.62580124141436,0.0,17.29958489566703,498.33124778429766,501.47677808093425,1.1323782802628708,0.0,5.0,False,False,False,False,15,stable
17,499.55731774415244,9.891619221147664,500.266546080139,495.18222462381755,504.62580124141436,0.0,17.29958489566703,498.3310233293428,501.4770025358891,0.4120289029215649,0.0,5.0,False,False,False,False,16,stable
18,499.91521806455984,6.612652109850217,500.19628047702315,495.18222462381755,504.62580124141436,0.0,17.29958489566703,498.3308796949786,501.4771461702533,0.0,0.0,5.0,False,False,False,False,17,stable
19,498.61148783816844,8.524900641955014,499.87932194925224,495.18222462381755,504.62580124141436,0.0,17.29958489566703,498.3307877758676,501.47723808936433,0.0,0.3214913538942732,5.0,False,False,False,False,18,stable
20,498.5877002553242,10.338428798633743,499.6209976104667,495.18222462381755,504.62580124141436,0.0,17.29958489566703,498.3307289504549,501.477296914777,0.0,0.6581014035264792,5.0,False,False,False,False,19,stable
21,501.411257507311,7.561212613498753,499.9790495898356,495.18222462381755,504.62580124141436,0.0,17.29958489566703,498.330691303345,501.4773345618869,0.45796080991781174,0.0,5.0,False,False,False,False,20,stable
22,500.8436175598258,8.068260923046466,500.1519631838337,495.18222462381755,504.62580124141436,0.0,17.29958489566703,498.33066720966747,501.47735865556444,0.5551461803588316,0.0,5.0,False,False,False,False,21,stable
23,501.8749614740318,6.366354866742029,500.49656284187336,495.18222462381755,504.62580124141436,0.0,17.29958489566703,498.3306517899075,501.4773740753244,1.3078237436023823,0.0,5.0,False,False,False,False,22,stable
24,499.1284839262149,7.950334563999036,500.2229470587417,495.18222462381755,504.62580124141436,0.0,17.29958489566703,498.3306419213404,501.47738394389154,0.3149200652215881,0.0,5.0,False,False,False,False,23,stable
25,499.3515168976022,7.819051084237458,500.04866102651386,495.18222462381755,504.62580124141436,0.0,17.29958489566703,498.33063560548993,501.477390259742,0.0,0.0,5.0,False,False,False,False,24,stable
26,497.45454405309374,8.636963078048723,499.5298376318299,495.18222462381755,504.62580124141436,0.0,17.29958489566703,498.33063156335896,501.47739430187295,0.0,1.0568111712528965,5.0,False,False,False,False,25,stable
27,498.8411706324209,2.6871315589221467,499.3921042319481,495.18222462381755,504.62580124141436,0.0,17.29958489566703,498.3306289764006,501.4773968888313,0.0,1.2323228219853182,5.0,False,False,False,False,26,stable
28,503.35915526131737,7.043792340765322,500.185514437822,495.18222462381755,504.62580124141436,0.0,17.29958489566703,498.33062732074944,501.47739854448247,1.6959879631703334,0.0,5.0,False,False,False,False,27,stable
29,500.5106196449904,4.729741783891825,500.2505354792557,495.18222462381755,504.62580124141436,0.0,17.29958489566703,498.3306262611336,501.4773996040983,1.581529544970611,0.0,5.0,False,False,False,False,28,stable
30,500.6724464299952,7.409109696127416,500.33491766940364,495.18222462381755,504.62580124141436,0.0,17.29958489566703,498.3306255829799,501.477400282252,1.5699235242067529,0.0,5.0,False,False,False,False,29,stable
31,497.9773623265896,6.810379348154015,499.86340660084085,495.18222462381755,504.62580124141436,0.0,17.29958489566703,498.33062514896164,501.47740071627027,0.0,0.724523084019753,5.0,False,False,False,False,30,stable
32,499.58624448325554,5.854351497030393,499.80797417732384,495.18222462381755,504.62580124141436,0.0,17.29958489566703,498.33062487119,501.4774009940419,0.0,0.4264874673894652,5.0,False,False,False,False,31,stable
33,497.10753409197,7.517601421053314,499.2678861602531,495.18222462381755,504.62580124141436,0.0,17.29958489566703,498.3306246934162,501.4774011718157,0.0,1.7038480763305888,5.0,False,False,False,False,32,stable
