seed,scenario,baseline_signals,xbar_delay_lots,xbar_predrift_alarms,xbar_stable_alarms,r_delay_lots,r_predrift_alarms,r_stable_alarms,ewma_delay_lots,ewma_predrift_alarms,ewma_stable_alarms,cusum_delay_lots,cusum_predrift_alarms,cusum_stable_alarms
7,stable,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0
7,wall_drift,1,12.0,0,,,0,,7.0,0,,4.0,0,
7,rf_loss,1,0.0,0,,,0,,0.0,0,,0.0,0,
7,vacuum_leak,1,20.0,0,,,0,,6.0,0,,11.0,0,
7,flow_restriction,1,0.0,0,,,0,,0.0,0,,0.0,0,
7,sensor_bias,1,,0,,,0,,,0,,,0,
8,stable,1,26.0,0,1.0,,0,0.0,,0,0.0,,0,0.0
8,wall_drift,1,9.0,0,,,0,,9.0,0,,9.0,0,
8,rf_loss,1,0.0,0,,,0,,0.0,0,,0.0,0,
8,vacuum_leak,1,26.0,0,,,0,,6.0,0,,5.0,0,
8,flow_restriction,1,0.0,0,,,0,,0.0,0,,0.0,0,
8,sensor_bias,1,26.0,0,,,0,,,0,,,0,
9,stable,0,,0,0.0,,1,1.0,3.0,0,2.0,,0,0.0
9,wall_drift,0,13.0,0,,,1,,10.0,0,,9.0,0,
9,rf_loss,0,0.0,0,,,1,,0.0,0,,0.0,0,
9,vacuum_leak,0,3.0,0,,,1,,2.0,0,,2.0,0,
9,flow_restriction,0,0.0,0,,,1,,0.0,0,,0.0,0,
9,sensor_bias,0,,0,,,1,,3.0,0,,,0,
10,stable,0,,0,0.0,,0,0.0,,0,0.0,,0,0.0
10,wall_drift,0,7.0,0,,,0,,8.0,0,,7.0,0,
10,rf_loss,0,0.0,0,,,0,,0.0,0,,0.0,0,
10,vacuum_leak,0,5.0,0,,,0,,6.0,0,,6.0,0,
10,flow_restriction,0,0.0,0,,,0,,0.0,0,,0.0,0,
10,sensor_bias,0,,0,,,0,,,0,,,0,
11,stable,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0
11,wall_drift,1,11.0,0,,,0,,8.0,0,,7.0,0,
11,rf_loss,1,0.0,0,,,0,,0.0,0,,0.0,0,
11,vacuum_leak,1,57.0,0,,,0,,5.0,0,,7.0,0,
11,flow_restriction,1,0.0,0,,,0,,0.0,0,,0.0,0,
11,sensor_bias,1,,0,,,0,,,0,,,0,
12,stable,0,32.0,0,1.0,23,0,2.0,,0,0.0,,0,0.0
12,wall_drift,0,9.0,0,,23,0,,7.0,0,,8.0,0,
12,rf_loss,0,0.0,0,,23,0,,0.0,0,,0.0,0,
12,vacuum_leak,0,13.0,0,,23,0,,6.0,0,,6.0,0,
12,flow_restriction,0,0.0,0,,23,0,,0.0,0,,0.0,0,
12,sensor_bias,0,32.0,0,,23,0,,,0,,,0,
13,stable,0,,0,0.0,,0,0.0,,0,0.0,,0,0.0
13,wall_drift,0,11.0,0,,,0,,10.0,0,,10.0,0,
13,rf_loss,0,0.0,0,,,0,,0.0,0,,0.0,0,
13,vacuum_leak,0,40.0,0,,,0,,5.0,0,,5.0,0,
13,flow_restriction,0,0.0,0,,,0,,0.0,0,,0.0,0,
13,sensor_bias,0,,0,,,0,,,0,,,0,
14,stable,0,,0,0.0,,0,0.0,,0,0.0,,0,0.0
14,wall_drift,0,17.0,0,,,0,,8.0,0,,8.0,0,
14,rf_loss,0,0.0,0,,,0,,0.0,0,,0.0,0,
14,vacuum_leak,0,9.0,0,,,0,,4.0,0,,4.0,0,
