campaign,tool,lot,kind,start_s,end_s,duration_s,units,good_units
7,ETCH-01,0,production,0.0,825.0,825.0,5,5
7,ETCH-01,1,production,825.0,1650.0,825.0,5,5
7,ETCH-01,2,production,1650.0,2475.0,825.0,5,5
7,ETCH-01,3,production,2475.0,3300.0,825.0,5,5
7,ETCH-01,4,production,3300.0,4125.0,825.0,5,5
7,ETCH-01,5,production,4125.0,4950.0,825.0,5,5
7,ETCH-01,6,production,4950.0,5775.0,825.0,5,5
7,ETCH-01,7,production,5775.0,6600.0,825.0,5,5
7,ETCH-01,8,production,6600.0,7425.0,825.0,5,5
7,ETCH-01,9,production,7425.0,8250.0,825.0,5,5
7,ETCH-01,10,production,8250.0,9075.0,825.0,5,5
7,ETCH-01,11,production,9075.0,9900.0,825.0,5,5
7,ETCH-01,12,production,9900.0,10725.0,825.0,5,5
7,ETCH-01,13,production,10725.0,11550.0,825.0,5,5
7,ETCH-01,14,production,11550.0,12375.0,825.0,5,5
7,ETCH-01,15,production,12375.0,13200.0,825.0,5,5
7,ETCH-01,16,production,13200.0,14025.0,825.0,5,5
7,ETCH-01,17,production,14025.0,14850.0,825.0,5,5
7,ETCH-01,18,production,14850.0,15675.0,825.0,5,5
7,ETCH-01,19,production,15675.0,16500.0,825.0,5,4
7,ETCH-01,20,production,16500.0,17325.0,825.0,5,5
7,ETCH-01,21,production,17325.0,18150.0,825.0,5,5
7,ETCH-01,22,production,18150.0,18975.0,825.0,5,4
7,ETCH-01,23,production,18975.0,19800.0,825.0,5,5
7,ETCH-01,24,production,19800.0,20625.0,825.0,5,5
7,ETCH-01,25,production,20625.0,21450.0,825.0,5,5
7,ETCH-01,26,production,21450.0,22275.0,825.0,5,5
7,ETCH-01,27,production,22275.0,23100.0,825.0,5,5
7,ETCH-01,28,production,23100.0,23925.0,825.0,5,4
7,ETCH-01,29,production,23925.0,24750.0,825.0,5,5
7,ETCH-01,30,production,24750.0,25575.0,825.0,5,5
7,ETCH-01,31,production,25575.0,26400.0,825.0,5,4
7,ETCH-01,32,production,26400.0,27225.0,825.0,5,4
7,ETCH-01,33,production,27225.0,28050.0,825.0,5,5
7,ETCH-01,34,production,28050.0,28875.0,825.0,5,5
7,ETCH-01,35,production,28875.0,29700.0,825.0,5,5
7,ETCH-01,36,production,29700.0,30525.0,825.0,5,5
7,ETCH-01,37,production,30525.0,31350.0,825.0,5,5
7,ETCH-01,38,production,31350.0,32175.0,825.0,5,3
7,ETCH-01,39,production,32175.0,33000.0,825.0,5,5
7,ETCH-01,40,production,33000.0,33825.0,825.0,5,4
7,ETCH-01,41,production,33825.0,34650.0,825.0,5,4
7,ETCH-01,42,production,34650.0,35475.0,825.0,5,2
7,ETCH-01,43,production,35475.0,36300.0,825.0,5,4
7,ETCH-01,44,production,36300.0,37125.0,825.0,5,3
7,ETCH-01,45,production,37125.0,37950.0,825.0,5,3
7,ETCH-01,46,production,37950.0,38775.0,825.0,5,2
7,ETCH-01,47,production,38775.0,39600.0,825.0,5,2
