tool,group,depth_nm
ETCH-01,before,502.9993573559599
ETCH-01,before,498.6633680335485
ETCH-01,before,496.0446949238278
ETCH-01,before,502.18757942939646
ETCH-01,before,500.31918789655725
ETCH-01,before,495.07034270033415
ETCH-01,before,497.5825433793172
ETCH-01,before,501.46063862889235
ETCH-01,before,497.15784665575757
ETCH-01,before,497.48039620196784
ETCH-01,before,498.5029367360095
ETCH-01,before,496.3199188796553
ETCH-01,before,505.08325028981966
ETCH-01,before,500.34012057346814
ETCH-01,before,499.3980579110039
ETCH-01,before,500.6012037930773
ETCH-01,before,502.9094814539677
ETCH-01,before,500.1253103784736
ETCH-01,before,499.3704283865002
ETCH-01,before,500.2525871252255
ETCH-01,before,498.9811424741011
ETCH-01,before,495.0499239492279
ETCH-01,before,503.1462036758175
ETCH-01,before,503.38732539962257
ETCH-01,before,505.6653110846535
ETCH-01,before,498.6180604585867
ETCH-01,before,498.62658394033866
ETCH-01,before,497.12748685215684
ETCH-01,before,502.03646027800414
ETCH-01,before,508.68605654759403
ETCH-01,before,497.27862467874013
ETCH-01,before,502.47280203698426
ETCH-01,before,501.05748721226803
ETCH-01,before,502.4085885849478
ETCH-01,before,503.2705663117627
ETCH-01,before,499.7516304968357
ETCH-01,before,500.05954956209155
ETCH-01,before,503.5538703827517
ETCH-01,before,500.3774788080886
ETCH-01,before,506.7087416756505
ETCH-01,before,493.31832821683105
ETCH-01,before,502.4857593015114
ETCH-01,before,498.2512365497593
ETCH-01,before,496.7006641723696
ETCH-01,before,497.1567940298939
ETCH-01,before,498.4542603440063
ETCH-01,before,501.02216739170075
ETCH-01,before,502.86457201311094
ETCH-01,before,501.3689334010297
ETCH-01,before,506.1920952679029
ETCH-01,before,497.74263709075115
ETCH-01,before,495.62810461931184
ETCH-01,before,499.81225372389963
ETCH-01,before,502.15814366672436
ETCH-01,before,506.3422687093133
ETCH-01,before,500.58161808128494
ETCH-01,before,495.908741937939
ETCH-01,before,501.7560559615125
ETCH-01,before,496.8649538236493
ETCH-01,before,495.2348776639784
ETCH-01,after,504.1839150471579
ETCH-01,after,503.32758852697907
ETCH-01,after,506.96436994041227
ETCH-01,after,497.20840344758244
ETCH-01,after,494.0707496475092
ETCH-01,after,504.7271212386524
ETCH-01,after,501.9311765457069
ETCH-01,after,495.64737523669146
ETCH-01,after,506.5884475474501
ETCH-01,after,499.1937822974905
ETCH-01,after,503.8289213743797
ETCH-01,after,497.49789221424675
ETCH-01,after,503.60730698911425
ETCH-01,after,499.51813155534046
ETCH-01,after,502.8587542903201
ETCH-01,after,497.23308976617955
ETCH-01,after,499.98377509473454
ETCH-01,after,497.6796308168319
ETCH-01,after,500.8996012211151
ETCH-01,after,504.2712845833547
ETCH-01,after,501.25514920220076
ETCH-01,after,501.404869126238
ETCH-01,after,502.40701786267937
ETCH-01,after,496.859625384313
ETCH-01,after,504.0753037397915
ETCH-01,after,497.533695172146
ETCH-01,after,507.4171599696317
ETCH-01,after,497.5932931303597
ETCH-01,after,503.02489946589014
ETCH-01,after,494.8328341504165
ETCH-01,after,503.3807139122968
ETCH-01,after,506.38606685200733
ETCH-01,after,499.83174723660284
ETCH-01,after,499.56994765772004
ETCH-01,after,501.62415435733317
ETCH-01,after,499.92125255129525
ETCH-01,after,499.656640367946
ETCH-01,after,502.5422977846806
ETCH-01,after,500.1715075444898
ETCH-01,after,503.85537107417315
ETCH-01,after,492.16837954308363
ETCH-01,after,500.2664937112674
ETCH-01,after,496.4929245633709
ETCH-01,after,500.032308319028
ETCH-01,after,500.62376403026923
ETCH-01,after,502.38850293554174
ETCH-01,after,495.24819884531007
ETCH-01,after,497.5534127560101
ETCH-01,after,500.18098742864146
ETCH-01,after,499.1421684535166
ETCH-01,after,500.0941216687314
ETCH-01,after,502.6801810188993
ETCH-01,after,500.45420458895825
ETCH-01,after,497.5210338148033
ETCH-01,after,497.02397820510987
ETCH-01,after,503.2293408591984
ETCH-01,after,500.2133789640592
ETCH-01,after,499.92461752389283
ETCH-01,after,501.79305904507777
ETCH-01,after,502.28168320513106
ETCH-02,before,491.526892163507
ETCH-02,before,486.9221370954415
ETCH-02,before,486.304671986364
ETCH-02,before,487.25291384215774
ETCH-02,before,481.3488732018799
ETCH-02,before,487.176061132759
ETCH-02,before,488.39463317976197
ETCH-02,before,484.7400002781828
ETCH-02,before,486.6397725017607
ETCH-02,before,486.7840821592565
ETCH-02,before,487.4085947127718
ETCH-02,before,488.2723411455039
ETCH-02,before,495.1199807708562
ETCH-02,before,487.27215480320376
ETCH-02,before,488.8661388190003
ETCH-02,before,494.97124772703216
ETCH-02,before,483.9376735941483
ETCH-02,before,489.57202701074056
ETCH-02,before,480.53436932140244
ETCH-02,before,486.258462519804
ETCH-02,before,488.7068125663775
ETCH-02,before,494.28563218606223
ETCH-02,before,481.9116925917018
ETCH-02,before,486.1242075905581
ETCH-02,before,487.4546005829833
ETCH-02,before,486.9347118679059
ETCH-02,before,492.1451301645315
ETCH-02,before,490.13691843148274
ETCH-02,before,480.1832859010833
ETCH-02,before,486.07248260424103
ETCH-02,before,486.1519025066917
ETCH-02,before,486.13482734995546
ETCH-02,before,483.32847996879804
ETCH-02,before,481.7910928746091
ETCH-02,before,487.9365861011458
ETCH-02,before,485.01891231500804
ETCH-02,before,486.28694199643195
ETCH-02,before,488.585396456121
ETCH-02,before,489.1608732435499
ETCH-02,before,486.24359957653365
ETCH-02,before,487.6879977341008
ETCH-02,before,486.357598816115
ETCH-02,before,483.51978302140503
ETCH-02,before,485.23183102447007
ETCH-02,before,486.75868186958337
ETCH-02,before,484.97188479929406
ETCH-02,before,487.77127797827103
ETCH-02,before,484.34997797194814
ETCH-02,before,492.6411239726237
ETCH-02,before,485.61668979499535
ETCH-02,before,485.75819967788624
ETCH-02,before,490.7631591954979
ETCH-02,before,491.4430752237911
ETCH-02,before,485.0058206180247
ETCH-02,before,487.2203312324913
ETCH-02,before,481.87629636162103
ETCH-02,before,483.5617676533208
ETCH-02,before,490.9001460773158
ETCH-02,before,477.8859268928292
ETCH-02,before,483.29331529647555
ETCH-02,after,503.4124561927356
ETCH-02,after,501.22332894152646
ETCH-02,after,500.14340183273623
ETCH-02,after,503.77435780990834
ETCH-02,after,493.3270143529067
ETCH-02,after,500.7791876584813
ETCH-02,after,499.71648077320333
ETCH-02,after,492.89374110049584
ETCH-02,after,501.03881838236464
ETCH-02,after,498.19336068829693
ETCH-02,after,493.9041991145568
ETCH-02,after,503.3333695285825
ETCH-02,after,500.59978371404196
ETCH-02,after,494.84965916149025
ETCH-02,after,495.31561582418
ETCH-02,after,500.86320511440584
ETCH-02,after,502.0844341187639
ETCH-02,after,499.59389922135387
ETCH-02,after,499.7505266096473
ETCH-02,after,496.0538149215139
ETCH-02,after,501.42927306433444
ETCH-02,after,495.1671570594896
ETCH-02,after,498.56096036566174
ETCH-02,after,500.63894974924506
ETCH-02,after,494.26278403567244
ETCH-02,after,499.50232820309833
ETCH-02,after,498.90991597052107
ETCH-02,after,497.3196671722473
ETCH-02,after,503.44765990884906
ETCH-02,after,498.3593629791463
ETCH-02,after,498.12380106872797
ETCH-02,after,502.1624309765748
ETCH-02,after,500.05038184961876
ETCH-02,after,495.43947676327724
ETCH-02,after,496.73319207764655
ETCH-02,after,494.7812514565288
ETCH-02,after,494.89443315422113
ETCH-02,after,501.05321924490835
ETCH-02,after,499.32958046767357
ETCH-02,after,505.07431541825133
ETCH-02,after,501.94274280558693
ETCH-02,after,502.97424129841346
ETCH-02,after,499.96279153635345
ETCH-02,after,498.6178663594257
ETCH-02,after,503.9965665309373
ETCH-02,after,502.75930913055987
ETCH-02,after,495.2538016954132
ETCH-02,after,500.59908935499516
ETCH-02,after,497.65778788464894
ETCH-02,after,502.54071693900005
ETCH-02,after,497.54699140698244
ETCH-02,after,488.0041206031162
ETCH-02,after,496.1514017021393
ETCH-02,after,495.56294842343027
ETCH-02,after,499.8528616862217
ETCH-02,after,500.646727648157
ETCH-02,after,498.0312839458323
ETCH-02,after,495.361555386183
ETCH-02,after,497.0021511978721
ETCH-02,after,497.7168409483753
ETCH-03,before,512.9931394529688
ETCH-03,before,515.6271120274492
ETCH-03,before,514.5280874136903
ETCH-03,before,511.33194268217204
ETCH-03,before,518.0591635078583
ETCH-03,before,514.613834967501
ETCH-03,before,510.0153382979859
ETCH-03,before,517.2616837247217
ETCH-03,before,516.1554390297877
ETCH-03,before,518.1478528940869
ETCH-03,before,512.2236729538423
ETCH-03,before,515.795030028183
ETCH-03,before,513.4562984032027
ETCH-03,before,512.5717038239355
ETCH-03,before,520.0670484723084
ETCH-03,before,517.3261029307846
ETCH-03,before,517.0802155459297
ETCH-03,before,515.9994051643616
ETCH-03,before,508.0603057507838
ETCH-03,before,514.0746631939116
ETCH-03,before,515.4262005999368
ETCH-03,before,509.44746279823414
ETCH-03,before,521.0346969575955
ETCH-03,before,514.5464953016939
ETCH-03,before,511.26874932980246
ETCH-03,before,504.51158390832734
ETCH-03,before,515.8421278580297
ETCH-03,before,513.5543887395397
ETCH-03,before,515.518883061607
ETCH-03,before,513.3071848938924
ETCH-03,before,515.6280967064296
ETCH-03,before,511.81711800450887
ETCH-03,before,516.5627811836596
ETCH-03,before,512.8302991890026
ETCH-03,before,520.0044077725082
ETCH-03,before,516.1400863814869
ETCH-03,before,513.3435095315097
ETCH-03,before,516.7311054329458
ETCH-03,before,513.1678039766076
ETCH-03,before,514.6856867273688
ETCH-03,before,515.6187615642095
ETCH-03,before,511.80285934173196
ETCH-03,before,515.6872605700947
ETCH-03,before,514.1953501861569
ETCH-03,before,512.5941661530618
ETCH-03,before,509.0012203196079
ETCH-03,before,509.3520734377387
ETCH-03,before,516.5908727772728
ETCH-03,before,516.2275238946769
ETCH-03,before,514.4424905168036
ETCH-03,before,516.7649273786774
ETCH-03,before,514.9819291690393
ETCH-03,before,518.7315890372844
ETCH-03,before,520.831993740616
ETCH-03,before,518.4781694092721
ETCH-03,before,516.051702729774
ETCH-03,before,510.60564653820717
ETCH-03,before,515.0142643177747
ETCH-03,before,510.8903458856742
ETCH-03,before,510.559743653281
ETCH-03,after,502.1151520928414
ETCH-03,after,501.6168997224665
ETCH-03,after,504.5551313412212
ETCH-03,after,496.6494609054211
ETCH-03,after,499.33305097218084
ETCH-03,after,488.6286135138243
ETCH-03,after,505.5877108140196
ETCH-03,after,503.10933856298635
ETCH-03,after,497.82394086068547
ETCH-03,after,499.5102793139402
ETCH-03,after,498.91226594672366
ETCH-03,after,502.4959905162919
ETCH-03,after,496.8131472227431
ETCH-03,after,498.6010191088117
ETCH-03,after,502.79039378465853
ETCH-03,after,499.7878901458065
ETCH-03,after,500.69476462575017
ETCH-03,after,497.6646635028567
ETCH-03,after,496.78117782046445
ETCH-03,after,499.5270847753913
ETCH-03,after,500.2788435926894
ETCH-03,after,500.93968246600275
ETCH-03,after,503.7572227373793
ETCH-03,after,498.47259325440115
